CO_NCM,NO_NCM_POR,CO_ISIC_SECAO,NO_ISIC_SECAO,CO_CUCI_GRUPO,NO_CUCI_GRUPO
1059200,"Outros galos e galinhas, vivos, de peso <= 2.000 g",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1059300,"Galos e galinhas, vivos, de peso superior a 2.000 g",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1059400,"Outros galos e galinhas, vivos, de peso <= 2.000 g",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1059900,"Patos, gansos, perus, peruas e pintadas, vivos, de peso >185 g",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1060000,Outros animais vivos,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1060010,Avestruzes (Struthio camelus) para reprodução,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1060090,Outros animais vivos,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1061100,"Mamíferos primatas, vivos",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1061200,"Baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1061300,"Camelos e outros camelídeos (Camelidae), vivos",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1061400,"Coelhos e lebres, vivos",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1061900,Outros mamíferos vivos,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1062000,Répteis (incluindo as serpentes e as tartarugas marinhas),A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1063100,Aves de rapina,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1063200,"Psitaciformes (incluindo os papagaios, os periquitos, as araras e as cacatuas)",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1063310,"Avestruzes (Struthio camelus), para reprodução",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1063390,Outros avestruzes,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1063900,Outras aves vivas,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1063910,Avestruzes para reprodução,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1063990,Outras aves vivas,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1064100,Abelhas,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1064900,Outros insetos,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1069000,Outros animais vivos,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
2011000,"Carcaças e meias carcaças de bovino, frescas ou refrigeradas",C,Indústria de Transformação,011,"Carne bovina fresca, refrigerada ou congelada"
2012010,"Quartos dianteiros não desossadados de bovino, frescos/refrigerados",C,Indústria de Transformação,011,"Carne bovina fresca, refrigerada ou congelada"
2012020,"Quartos traseiros não desossados de bovino, frescos/refrigados",C,Indústria de Transformação,011,"Carne bovina fresca, refrigerada ou congelada"
2012090,"Outras peças não desossadas de bovino, frescas ou refrigeradas",C,Indústria de Transformação,011,"Carne bovina fresca, refrigerada ou congelada"
2013000,"Carnes desossadas de bovino, frescas ou refrigeradas",C,Indústria de Transformação,011,"Carne bovina fresca, refrigerada ou congelada"
2021000,"Carcaças e meias-carcaças de bovino, congeladas",C,Indústria de Transformação,011,"Carne bovina fresca, refrigerada ou congelada"
2022010,"Quartos dianteiros não desossados de bovino, congelados",C,Indústria de Transformação,011,"Carne bovina fresca, refrigerada ou congelada"
2022020,"Quartos traseiros não desossados de bovino, congelados",C,Indústria de Transformação,011,"Carne bovina fresca, refrigerada ou congelada"
2022090,"Outras peças não desossadas de bovino, congeladas",C,Indústria de Transformação,011,"Carne bovina fresca, refrigerada ou congelada"
2023000,"Carnes desossadas de bovino, congeladas",C,Indústria de Transformação,011,"Carne bovina fresca, refrigerada ou congelada"
2031100,"Carcaças e meias-carcaças de suíno, frescas ou refrigeradas",C,Indústria de Transformação,012c2,"Carne suína fresca, refrigerada ou congelada"
2031200,"Pernas, pás e respectivos pedaços, não desossados, de suíno, frescos ou refrigerados.",C,Indústria de Transformação,012c2,"Carne suína fresca, refrigerada ou congelada"
2031900,"Outras carnes de suíno, frescas ou refrigeradas",C,Indústria de Transformação,012c2,"Carne suína fresca, refrigerada ou congelada"
2032100,"Carcaças e meias-carcaças de suíno, congeladas",C,Indústria de Transformação,012c2,"Carne suína fresca, refrigerada ou congelada"
2032200,"Pernas, pás e pedaços não desossados de suíno, congelados",C,Indústria de Transformação,012c2,"Carne suína fresca, refrigerada ou congelada"
2032900,"Outras carnes de suíno, congeladas",C,Indústria de Transformação,012c2,"Carne suína fresca, refrigerada ou congelada"
2041000,"Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2042100,"Carcaças e meias-carcaças de ovino, frescas ou refrigeradas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2042200,"Outras peças não desossadas de ovino, frescas ou refrigeradas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2042300,"Carnes desossadas de ovino, frescas ou refrigeradas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2043000,"Carcaças e meias-carcaças de cordeiro, congeladas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2044100,"Carcaças e meias-carcaças de ovino, congeladas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2044200,"Outras peças não desossadas de ovino, congeladas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2044300,"Carnes desossadas de ovino, congeladas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2045000,"Carnes de caprino, frescas, refrigeradas ou congeladas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2050000,"Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2061000,"Miudezas comestíveis de bovino, frescas ou refrigeradas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2062100,"Línguas de bovino, congeladas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2062200,"Fígados de bovino, congelados",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2062910,"Rabos de bovino, congelados",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2062990,"Outras miudezas comestíveis de bovino, congeladas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2063000,"Miudezas comestíveis de suíno, frescas ou refrigeradas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2064100,"Fígados de suíno, congelados",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2064900,"Outras miudezas comestíveis de suíno, congeladas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2068000,"Miudezas comestíveis, de ovino, etc, frescas/refrigeradas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2069000,"Miudezas comestíveis, de ovino, caprino, etc, congeladas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2071100,"Carnes de galos/galinhas, não cortadas em pedaços, frescas/refrigeradas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2071200,"Carnes de galos/galinhas, não cortadas em pedaços, congeladas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2071210,"Carnes de galos/galinhas, não cortadas em pedaços, congeladas, com miudezas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2071220,"Carnes de galos/galinhas, não cortadas em pedaços, congeladas, sem miudezas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2071300,"Pedaços e miudezas, de galos/galinhas, frescos/refrigerados",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2071400,"Pedaços e miudezas, comestíveis de galos/galinhas, congelados",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2072400,"Carnes de peruas/perus, não cortadas em pedaços, frescas/refrigeradas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2072500,"Carnes de peruas/perus, não cortadas em pedaços, congeladas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2072600,"Carnes de peruas/perus, em pedaços, miudezas, frescas/refrigeradas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2072700,"Carnes de peruas/perus, em pedaços e miudezas, congeladas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2073200,"Carnes de patos, etc, não cortadas em pedaços, frescas/refrigeradas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2073300,"Carnes de patos, gansos, etc, não cortadas em pedaços, congeladas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2073400,"Fígados gordos, de patos/gansos/pintadas, frescos/refrigeradas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2073500,"Outras carnes/miudezas, de patos, gansos, etc.frescas, refrigeradas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2073600,"Outras carnes, miudezas, de patos, gansos, etc, congeladas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2074100,"Carnes de patos, nãoo cortada em pedaços, frescas ou refrigeradas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2074200,"Carnes de patos, não cortadas em pedaços, congeladas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2074300,"Fígados gordos (foies gras) de patos, frescos ou refrigerados",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2074400,"Outras carnes de patos, frescas ou refrigeradas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2074500,"Outras carnes de patos, congeladas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2075100,"Carnes de gansos, não cortada em pedaços, frescas ou refrigeradas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2075200,"Carnes de gansos, não cortadas em pedaços, congeladas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2075300,"Fígados gordos (foies gras) de gansos, frescos ou refrigerados",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2075400,"Outras carnes de gansos, frescas ou refrigeradas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2075500,"Outras carnes de gansos, congeladas",C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2076000,Carnes de galinhas dangola (pintadas),C,Indústria de Transformação,012c1,"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
2081000,"Carnes/miudezas, de coelhos/lebres, frescas/refrigeradas/congeladas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2082000,"Coxas de rã, frescas, refrigeradas ou congeladas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2083000,"Carnes de primatas, congeladas, frescas, refrigeradas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2084000,"Carnes de baleias, etc, congeladas, frescas, refrigeradas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2085000,"Carnes de répteis, congeladas, frescas, refrigeradas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2086000,"Outras carnes/miudezas comestíveis, de camelos e outros camelídeos",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2089000,"Carnes e miudezas, de outros animais, frescas/refrigeradas/congeladas",C,Indústria de Transformação,012c3,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas"
2090011,"Toucinho sem partes magras, fresco/refrigerado/congelado",C,Indústria de Transformação,411,Óleos e gorduras animais
2090019,"Toucinho sem partes magras, salgado/salmoura/seco/defumado",C,Indústria de Transformação,411,Óleos e gorduras animais
2090021,"Gordura de porco, fresca, refrigerada ou congelada",C,Indústria de Transformação,411,Óleos e gorduras animais
2090029,"Gordura de porco, não fundida, salgada, em salmoura, seca, etc",C,Indústria de Transformação,411,Óleos e gorduras animais
2090090,"Gordura de aves, não fundida, fresca, refrigerada, congelada, etc",C,Indústria de Transformação,411,Óleos e gorduras animais
2091011,"Toucinho de porco, fresco, refrigerado ou congelado",C,Indústria de Transformação,411,Óleos e gorduras animais
2091019,Outros toucinhos de porco,C,Indústria de Transformação,411,Óleos e gorduras animais
2091021,"Gordura de porco, fresca, refrigerada ou congelada",C,Indústria de Transformação,411,Óleos e gorduras animais
2091029,Outras gorduras de porco,C,Indústria de Transformação,411,Óleos e gorduras animais
2099000,Outros toucinhos e gorduras,C,Indústria de Transformação,411,Óleos e gorduras animais
2101100,"Pernas/pás/pedaços, de suíno, não desossados, salgados, etc.",C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
2101200,"Barrigas e peitos, entremeados, de suíno, salgados, etc.",C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
2101900,"Outras carnes de suíno, salgadas ou em salmoura, secas, etc.",C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
2102000,"Carnes de bovinos, salgadas/em salmoura/secas/defumadas",C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
2109000,"Carnes e miudezas, de outros animais, salgados, etc.",C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
2109100,"Carnes de primatas, salgadas, secas, etc.",C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
2109200,"Carnes de baleias, etc, salgadas, secas, etc.",C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
2109300,"Carnes de répteis, salgadas, secas, etc.",C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
2109900,"Carnes de outros animais, salgadas, secas, etc.",C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
2109911,Carnes de galos e de galinhas,C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
2109919,Outras carnes de galos e galinhas,C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
2109920,Carnes da espécie ovina,C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
2109930,Carnes da espécie cavalar,C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
2109940,Outras miudezas comestíveis,C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
2109990,"Carnes de outros animais, salgadas, secas, etc.",C,Indústria de Transformação,016,"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas"
3011000,"Peixes ornamentais, vivos",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3011010,"Aruana (Osteoglossum bicirrhosum), peixes ornamentais vivos",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3011090,Outros peixes ornamentais vivos,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3011110,Aruana (Osteoglossum bicirrhosum),A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3011190,"Outros peixes ornamentais, vivos, de água doce",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3011900,Outros peixes ornamentais vivos,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019110,"Trutas (Salmo trutta e oncorhynchus), para reprodução",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019190,"Outras trutas (Salmo trutta e Oncorhynchus), vivas",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019210,Enguias (anguilla spp.) para reprodução,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019290,Outras enguias (anguilla spp.) vivas,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019310,Carpas para reprodução,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019390,Outras carpas vivas,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019410,Albacoras-azuis (Thunnus thynnus) para reprodução,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019490,Outros albacoras-azuis (Thunnus thynnus) para reprodução,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019510,Outros peixes para reprodução,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019590,Outros peixes vivos,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019910,Outros peixes para reprodução,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019911,"Tilápias, peixes para reprodução",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019912,"Esturjões, peixes para reprodução",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019919,Outros peixes para reprodução,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019990,Outros peixes vivos,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019991,"Outros peixes tilápias, vivos",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019992,"Outros peixes esturjões, vivos",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3019999,Outros peixes vivos,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3021100,"Trutas frescas, refrigeradas, exceto filés, outras carnes, fígados, etc",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3021200,"Salmões-do-pacífico, etc, frescos, refrigerados, exceto filés, etc.",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3021300,"Salmões-do-pacifico (oncorhynchus nerka, etc), fresco ou refrigerado",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3021400,"Salmão-do-atlantico e salmão-do-danubio, fresco ou refrigerado",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3021900,"Outros salmonídeos frescos, refrigerados, exceto filés, etc.",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3022100,"Linguados-gigantes, frescos, refrig.exceto filés, etc.",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3022200,"Solhas ou patrucas, frescas, refrigeradas, exceto filés, etc.",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3022300,"Linguados frescos, refrigerados, exceto filés, outras carnes, etc.",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3022400,"Pregado (Psetta maxima), fresco ou refrigerado",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3022900,"Outros peixes chatos, frescos, refrigerados, exceto filés, etc.",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3023100,"Atuns-brancos ou germões, frescos/refrigerados, exceto filés, etc",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3023200,"Albacoras/atuns barbatana amarela, frescas/refrigerado, exceto filés",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3023300,"Bonitos-listrados, etc, frescos, refrigerados, exceto filés, etc.",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3023400,"Albacoras-bandolim (patudos) frescos, refrigerados",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3023500,"Albacoras-azuis (atuns-azuis) frescos, refrigerados",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3023600,Atuns do sul frescos ou refrigerados,A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3023900,"Outros atuns frescos, refrigerados, exceto filés, outras carnes, etc.",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3024000,"Arenques frescos/refrigerados, exceto filés, outras carnes, etc",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
3024100,"Arenques (Clupea harengus, Clupea pallasii), fresco ou refrigerado",A,Agropecuária,034a,"Pescado inteiro vivo, morto ou refrigerado"
